150,0,3.7,2.1
152.5,22.5,3.9,2.3
162.5,12.5,3.4,2
165,35,3.6,2.1
175,0,2.9,1.7
175,25,3,1.7
177.5,47.5,3.5,2.1
187.5,12.5,2.5,1.5
187.5,37.5,2.9,1.7
190,60,3.4,2
200,0,2.2,1.3
200,25,2.3,1.4
200,50,2.5,1.6
202.5,72.5,3.3,1.9
212.5,37.5,2.1,1.2
212.5,62.5,2.5,1.5
225,0,1.7,0.99
225,25,1.8,1.1
225,50,1.9,1.2
225,75,2.4,1.5
237.5,62.5,1.8,1.1
250,0,1.4,0.86
250,25,1.4,0.84
250,50,1.5,0.93
250,75,1.8,1.1
250,100,2.2,1.4
275,0,1.2,0.72
275,25,1.2,0.71
275,50,1.2,0.77
275,75,1.4,0.86
300,0,0.99,0.6
300,25,1,0.62
300,50,1,0.65
300,75,1.1,0.68
300,100,1.3,0.79
325,0,0.84,0.51
325,50,0.88,0.55
350,0,0.74,0.45
350,25,0.79,0.49
350,50,0.8,0.49
350,75,0.85,0.5
350,100,0.87,0.55
375,0,0.67,0.42
375,50,0.71,0.43
400,0,0.64,0.38
400,25,0.64,0.39
425,0,0.61,0.37
