90,1,510
90,1.5,30
90,2,15
90,3,7.9
90,5,2.6
100,1,1920.0
100,1.5,66.7
100,2,15.1
100,3,7.39
100,5,2.87
100,10,1.82
100,15,3
100,25,3.84
100,40,1.64
100,60,0.979
100,70,0.787
100,80,0.646
100,90,0.753
100,100,14.6
110,60,0.83
110,70,0.61
110,80,0.587
125,1.5,77.6
125,2,19
125,3,7.41
125,5,2.52
125,10,1.42
125,15,2.76
125,25,2.65
125,40,1.5
125,60,0.735
125,70,0.613
125,80,0.5
125,90,0.63
140,40,1.2
140,70,0.537
140,80,0.452
140,90,0.514
150,1.5,100
150,2,20.9
150,3,6.76
150,5,2.28
150,10,1.08
150,15,1.79
150,25,2.18
150,30,1.67
150,40,1.1
150,50,0.895
150,60,0.619
150,70,0.536
150,80,0.44
150,90,0.575
150,100,9.42
150,149,10
175,2,43.2
175,3,7.36
175,5,1.94
175,15,1.26
175,25,1.74
200,2,69.7
200,3,7.82
200,5,1.86
200,10,0.825
200,15,1.05
200,25,1.7
200,30,1.28
200,40,0.883
200,50,0.602
200,60,0.587
200,70,0.432
200,80,0.382
200,90,0.489
200,92,0.274
200,95,0.442
200,100,1.08
200,150,4.7
225,2,54.5
225,3,8.75
225,5,1.98
225,15,1.08
225,25,1.27
250,3,8.88
250,5,2.12
250,10,0.708
250,15,0.99
250,25,0.937
250,30,0.896
250,40,0.668
250,50,0.585
250,60,0.462
250,70,0.442
250,80,0.38
250,90,0.209
250,92,0.303
250,95,0.481
250,100,1.63
275,3,9.61
275,5,1.97
275,15,0.836
275,25,1.03
300,5,2.04
300,10,0.825
300,15,1.29
300,25,0.917
300,40,0.617
300,50,0.49
300,60,0.477
300,70,0.367
300,80,0.345
300,92,0.236
300,95,0.359
300,100,1.13
325,5,2.14
325,15,0.894
325,25,0.667
350,40,0.506
350,50,0.436
350,60,0.385
350,70,0.352
350,80,0.316
350,90,0.372
350,100,1.35
400,40,0.591
400,60,0.389
400,80,0.349
400,100,1.95
